AN	{(13059_2014_Article_567.PMC4305239.pdf.txt),(13059_2014_Article_577.PMC4333267.pdf.txt),(13059_2015_Article_603.PMC4376164.pdf.txt),(13059_2015_Article_608.PMC4375924.pdf.txt),(13059_2015_Article_621.PMC4407537.pdf.txt),(13059_2015_Article_623.PMC4414376.pdf.txt),(13059_2015_Article_642.PMC4434584.pdf.txt),(13059_2015_Article_655.PMC4432964.pdf.txt),(13059_2015_Article_711.PMC4511969.pdf.txt),(13059_2015_Article_717.PMC4531811.pdf.txt),(13059_2015_Article_727.PMC4557751.pdf.txt),(13059_2015_Article_739.PMC4576406.pdf.txt),(13059_2015_Article_751.PMC4553008.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt),(13059_2015_Article_829.PMC4653885.pdf.txt)}
AR	{(13059_2014_Article_559.PMC4302535.pdf.txt),(13059_2014_Article_560.PMC4310165.pdf.txt),(13059_2014_Article_566.PMC4305242.pdf.txt),(13059_2014_Article_569.PMC4301800.pdf.txt),(13059_2014_Article_576.PMC4334405.pdf.txt),(13059_2014_Article_577.PMC4333267.pdf.txt),(13059_2014_Article_578.PMC4373106.pdf.txt),(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_580.PMC4354993.pdf.txt),(13059_2015_Article_582.PMC4373400.pdf.txt),(13059_2015_Article_586.PMC4369099.pdf.txt),(13059_2015_Article_589.PMC4365969.pdf.txt),(13059_2015_Article_594.PMC4378455.pdf.txt),(13059_2015_Article_598.PMC4355146.pdf.txt),(13059_2015_Article_602.PMC4359439.pdf.txt),(13059_2015_Article_603.PMC4376164.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_606.PMC4389885.pdf.txt),(13059_2015_Article_616.PMC4373516.pdf.txt),(13059_2015_Article_621.PMC4407537.pdf.txt),(13059_2015_Article_624.PMC4404648.pdf.txt),(13059_2015_Article_627.PMC4404591.pdf.txt),(13059_2015_Article_629.PMC4403723.pdf.txt),(13059_2015_Article_632.PMC4404566.pdf.txt),(13059_2015_Article_633.PMC4425883.pdf.txt),(13059_2015_Article_636.PMC4450998.pdf.txt),(13059_2015_Article_640.PMC4464704.pdf.txt),(13059_2015_Article_641.PMC4425911.pdf.txt),(13059_2015_Article_645.PMC4427941.pdf.txt),(13059_2015_Article_647.PMC4501097.pdf.txt),(13059_2015_Article_648.PMC4467049.pdf.txt),(13059_2015_Article_651.PMC4419486.pdf.txt),(13059_2015_Article_665.PMC4443510.pdf.txt),(13059_2015_Article_666.PMC4457086.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_672.PMC4491874.pdf.txt),(13059_2015_Article_675.PMC4471934.pdf.txt),(13059_2015_Article_678.PMC4469577.pdf.txt),(13059_2015_Article_679.PMC4495646.pdf.txt),(13059_2015_Article_684.PMC4487847.pdf.txt),(13059_2015_Article_687.PMC4477473.pdf.txt),(13059_2015_Article_689.PMC4469412.pdf.txt),(13059_2015_Article_692.PMC4506401.pdf.txt),(13059_2015_Article_693.PMC4499193.pdf.txt),(13059_2015_Article_694.PMC4506430.pdf.txt),(13059_2015_Article_695.PMC4474330.pdf.txt),(13059_2015_Article_697.PMC4531809.pdf.txt),(13059_2015_Article_700.PMC4531541.pdf.txt),(13059_2015_Article_701.PMC4507327.pdf.txt),(13059_2015_Article_702.PMC4511015.pdf.txt),(13059_2015_Article_713.PMC4566361.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt),(13059_2015_Article_719.PMC4536608.pdf.txt),(13059_2015_Article_721.PMC4531804.pdf.txt),(13059_2015_Article_723.PMC4504083.pdf.txt),(13059_2015_Article_726.PMC4531805.pdf.txt),(13059_2015_Article_732.PMC4556057.pdf.txt),(13059_2015_Article_735.PMC4566308.pdf.txt),(13059_2015_Article_736.PMC4562119.pdf.txt),(13059_2015_Article_740.PMC4549084.pdf.txt),(13059_2015_Article_742.PMC4568590.pdf.txt),(13059_2015_Article_746.PMC4578762.pdf.txt),(13059_2015_Article_748.PMC4574115.pdf.txt),(13059_2015_Article_749.PMC4578845.pdf.txt),(13059_2015_Article_750.PMC4561473.pdf.txt),(13059_2015_Article_754.PMC4563886.pdf.txt),(13059_2015_Article_756.PMC4579611.pdf.txt),(13059_2015_Article_762.PMC4574606.pdf.txt),(13059_2015_Article_763.PMC4589031.pdf.txt),(13059_2015_Article_769.PMC4582738.pdf.txt),(13059_2015_Article_770.PMC4571075.pdf.txt),(13059_2015_Article_771.PMC4587749.pdf.txt),(13059_2015_Article_778.PMC4576375.pdf.txt),(13059_2015_Article_796.PMC4635538.pdf.txt),(13059_2015_Article_797.PMC4619081.pdf.txt),(13059_2015_Article_801.PMC4635978.pdf.txt),(13059_2015_Article_804.PMC4630832.pdf.txt),(13059_2015_Article_805.PMC4630968.pdf.txt),(13059_2015_Article_815.PMC4667491.pdf.txt),(13059_2015_Article_831.PMC4665391.pdf.txt),(13059_2015_Article_838.PMC4674939.pdf.txt)}
C2	{(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_637.PMC4414286.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_722.PMC4570686.pdf.txt),(13059_2015_Article_729.PMC4556409.pdf.txt),(13059_2015_Article_739.PMC4576406.pdf.txt),(13059_2015_Article_747.PMC4549078.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_803.PMC4618857.pdf.txt),(13059_2015_Article_825.PMC4668643.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt)}
C3	{(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_599.PMC4389302.pdf.txt),(13059_2015_Article_617.PMC4396974.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_701.PMC4507327.pdf.txt),(13059_2015_Article_739.PMC4576406.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_829.PMC4653885.pdf.txt)}
C5	{(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_732.PMC4556057.pdf.txt),(13059_2015_Article_739.PMC4576406.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt)}
C6	{(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_630.PMC4399757.pdf.txt),(13059_2015_Article_671.PMC4504042.pdf.txt),(13059_2015_Article_680.PMC4465146.pdf.txt),(13059_2015_Article_755.PMC4571124.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_817.PMC4657203.pdf.txt)}
C9	{(13059_2015_Article_599.PMC4389302.pdf.txt)}
CP	{(13059_2014_Article_569.PMC4301800.pdf.txt),(13059_2014_Article_570.PMC4311508.pdf.txt),(13059_2014_Article_575.PMC4326501.pdf.txt),(13059_2015_Article_586.PMC4369099.pdf.txt),(13059_2015_Article_603.PMC4376164.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_606.PMC4389885.pdf.txt),(13059_2015_Article_607.PMC4358723.pdf.txt),(13059_2015_Article_614.PMC4404278.pdf.txt),(13059_2015_Article_618.PMC4391730.pdf.txt),(13059_2015_Article_623.PMC4414376.pdf.txt),(13059_2015_Article_627.PMC4404591.pdf.txt),(13059_2015_Article_629.PMC4403723.pdf.txt),(13059_2015_Article_637.PMC4414286.pdf.txt),(13059_2015_Article_647.PMC4501097.pdf.txt),(13059_2015_Article_652.PMC4419397.pdf.txt),(13059_2015_Article_655.PMC4432964.pdf.txt),(13059_2015_Article_676.PMC4448532.pdf.txt),(13059_2015_Article_680.PMC4465146.pdf.txt),(13059_2015_Article_683.PMC4480509.pdf.txt),(13059_2015_Article_685.PMC4474455.pdf.txt),(13059_2015_Article_702.PMC4511015.pdf.txt),(13059_2015_Article_705.PMC4499915.pdf.txt),(13059_2015_Article_730.PMC4536798.pdf.txt),(13059_2015_Article_734.PMC4558956.pdf.txt),(13059_2015_Article_736.PMC4562119.pdf.txt),(13059_2015_Article_750.PMC4561473.pdf.txt),(13059_2015_Article_766.PMC4581094.pdf.txt),(13059_2015_Article_776.PMC4601135.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_792.PMC4634911.pdf.txt),(13059_2015_Article_799.PMC4641396.pdf.txt),(13059_2015_Article_801.PMC4635978.pdf.txt),(13059_2015_Article_802.PMC4635527.pdf.txt),(13059_2015_Article_821.PMC4661937.pdf.txt),(13059_2015_Article_829.PMC4653885.pdf.txt)}
CS	{(13059_2014_Article_566.PMC4305242.pdf.txt),(13059_2014_Article_568.PMC4308918.pdf.txt),(13059_2014_Article_569.PMC4301800.pdf.txt),(13059_2014_Article_570.PMC4311508.pdf.txt),(13059_2014_Article_579.PMC4365533.pdf.txt),(13059_2015_Article_580.PMC4354993.pdf.txt),(13059_2015_Article_583.PMC4342872.pdf.txt),(13059_2015_Article_586.PMC4369099.pdf.txt),(13059_2015_Article_605.PMC4380107.pdf.txt),(13059_2015_Article_606.PMC4389885.pdf.txt),(13059_2015_Article_608.PMC4375924.pdf.txt),(13059_2015_Article_612.PMC4381444.pdf.txt),(13059_2015_Article_617.PMC4396974.pdf.txt),(13059_2015_Article_623.PMC4414376.pdf.txt),(13059_2015_Article_624.PMC4404648.pdf.txt),(13059_2015_Article_629.PMC4403723.pdf.txt),(13059_2015_Article_632.PMC4404566.pdf.txt),(13059_2015_Article_633.PMC4425883.pdf.txt),(13059_2015_Article_637.PMC4414286.pdf.txt),(13059_2015_Article_646.PMC4428241.pdf.txt),(13059_2015_Article_653.PMC4414275.pdf.txt),(13059_2015_Article_662.PMC4432975.pdf.txt),(13059_2015_Article_673.PMC4443626.pdf.txt),(13059_2015_Article_676.PMC4448532.pdf.txt),(13059_2015_Article_679.PMC4495646.pdf.txt),(13059_2015_Article_693.PMC4499193.pdf.txt),(13059_2015_Article_696.PMC4492089.pdf.txt),(13059_2015_Article_715.PMC4507317.pdf.txt),(13059_2015_Article_719.PMC4536608.pdf.txt),(13059_2015_Article_727.PMC4557751.pdf.txt),(13059_2015_Article_742.PMC4568590.pdf.txt),(13059_2015_Article_747.PMC4549078.pdf.txt),(13059_2015_Article_749.PMC4578845.pdf.txt),(13059_2015_Article_755.PMC4571124.pdf.txt),(13059_2015_Article_776.PMC4601135.pdf.txt),(13059_2015_Article_780.PMC4618389.pdf.txt),(13059_2015_Article_790.PMC4620651.pdf.txt),(13059_2015_Article_793.PMC4620633.pdf.txt),(13059_2015_Article_794.PMC4612416.pdf.txt),(13059_2015_Article_804.PMC4630832.pdf.txt),(13059_2015_Article_808.PMC4627418.pdf.txt),(13059_2015_Article_817.PMC4657203.pdf.txt),(13059_2015_Article_821.PMC4661937.pdf.txt),(13059_2015_Article_823.PMC4661947.pdf.txt),(13059_2015_Article_827.PMC4659173.pdf.txt)}
F2	{(13059_2014_Article_559.PMC4302535.pdf.txt),(13059_2015_Article_585.PMC4312463.pdf.txt),(13059_2015_Article_591.PMC4396973.pdf.txt),(13059_2015_Article_678.PMC4469577.pdf.txt),(13059_2015_Article_714.PMC4499172.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt),(13059_2015_Article_785.PMC4595211.pdf.txt),(13059_2015_Article_789.PMC4604725.pdf.txt)}
F3	{(13059_2015_Article_606.PMC4389885.pdf.txt),(13059_2015_Article_628.PMC4408586.pdf.txt),(13059_2015_Article_678.PMC4469577.pdf.txt),(13059_2015_Article_714.PMC4499172.pdf.txt),(13059_2015_Article_716.PMC4566846.pdf.txt)}
